
============================================================
  DEVICE: SW06-PoE-24P-BIURO-1-P1  [10.0.100.16]  vendor: cisco
============================================================

Timestamp : 2026-05-15 12:24:16


------------------------------------------------------------
  CMD: show log
------------------------------------------------------------

Syslog logging: enabled (0 messages dropped, 0 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level emergencies, 0 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 40087 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    File logging: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 40053 message lines logged
Feb 25 20:57:49.620: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:57:55.120: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:57:56.121: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:01:19.533: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:01:21.541: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:01:24.535: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:01:26.543: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:01:49.854: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:01:50.860: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:01:56.009: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:01:57.010: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:04:20.158: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:04:22.166: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:04:25.437: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:04:27.446: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:04:30.717: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:04:33.884: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:04:36.941: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:04:37.942: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:07:01.399: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:07:03.407: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:07:05.405: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:07:07.407: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:07:11.560: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:07:14.732: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:07:17.747: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:07:18.759: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:09:43.122: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:09:45.130: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:09:47.039: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:09:48.046: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:09:50.064: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:09:51.066: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:09:52.361: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:09:55.486: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:09:58.464: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:09:59.465: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:12:23.645: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:12:25.653: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:12:28.165: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:12:29.172: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:12:31.195: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:12:36.297: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:12:39.312: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:12:40.313: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:15:04.404: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:15:06.407: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:15:09.558: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:15:11.571: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:15:13.999: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:15:17.407: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:15:20.506: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:15:21.507: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:17:44.969: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:17:46.972: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:17:48.969: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:17:49.971: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:17:51.989: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:17:52.991: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:17:54.805: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:17:58.050: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:18:01.112: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:18:02.124: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:20:25.927: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
